from_naptan,to_naptan,from_station,to_station,line,direction,line_direction,platform_direction
940GZZLUGTR,940GZZLUECT,Gloucester Road,Earl's Court,Piccadilly,Inbound,WB,WB
940GZZLUGTR,940GZZLUSKS,Gloucester Road,South Kensington,Piccadilly,Outbound,EB,EB
940GZZLUGTR,940GZZLUECT,Gloucester Road,Earl's Court,District,Inbound,WB,WB
940GZZLUGTR,940GZZLUSKS,Gloucester Road,South Kensington,District,Outbound,EB,EB
940GZZLUGTR,940GZZLUHSK,Gloucester Road,High Street Kensington,Circle,Outbound,OR,WB
940GZZLUGTR,940GZZLUSKS,Gloucester Road,South Kensington,Circle,Inbound,IR,EB
940GZZLUGGN,940GZZLUBTX,Golders Green,Brent Cross,Northern,Outbound,NB,NB
940GZZLUGGN,940GZZLUHTD,Golders Green,Hampstead,Northern,Inbound,SB,SB
940GZZLUGHK,940GZZLUSBM,Goldhawk Road,Shepherd's Bush Market,Hammersmith & City,Outbound,EB,EB
940GZZLUGHK,940GZZLUHSC,Goldhawk Road,Hammersmith,Hammersmith & City,Inbound,WB,WB
940GZZLUGHK,940GZZLUSBM,Goldhawk Road,Shepherd's Bush Market,Circle,Outbound,EB,EB
940GZZLUGHK,940GZZLUHSC,Goldhawk Road,Hammersmith,Circle,Inbound,WB,WB
940GZZLUGDG,940GZZLUWRR,Goodge Street,Warren Street,Northern,Outbound,NB,NB
940GZZLUGDG,940GZZLUTCR,Goodge Street,Tottenham Court Road,Northern,Inbound,SB,SB
940GZZLUGGH,940GZZLUHLT,Grange Hill,Hainault,Central,Inbound,WB,WB
940GZZLUGGH,940GZZLUCWL,Grange Hill,Chigwell,Central,Outbound,EB,EB
940GZZLUGPS,940GZZLUESQ,Great Portland Street,Euston Square,Metropolitan,Outbound,SB,EB
940GZZLUGPS,940GZZLUBST,Great Portland Street,Baker Street,Metropolitan,Inbound,NB,WB
940GZZLUGPS,940GZZLUESQ,Great Portland Street,Euston Square,Hammersmith & City,Outbound,EB,EB
940GZZLUGPS,940GZZLUBST,Great Portland Street,Baker Street,Hammersmith & City,Inbound,WB,WB
940GZZLUGPS,940GZZLUESQ,Great Portland Street,Euston Square,Circle,Outbound,OR,EB
940GZZLUGPS,940GZZLUBST,Great Portland Street,Baker Street,Circle,Inbound,IR,WB
940GZZLUGPK,940GZZLUOXC,Green Park,Oxford Circus,Victoria,Outbound,NB,NB
940GZZLUGPK,940GZZLUVIC,Green Park,Victoria,Victoria,Inbound,SB,SB
940GZZLUGPK,940GZZLUWSM,Green Park,Westminster,Jubilee,Outbound,EB,SB
940GZZLUGPK,940GZZLUBND,Green Park,Bond Street,Jubilee,Inbound,WB,NB
940GZZLUGPK,940GZZLUHPC,Green Park,Hyde Park Corner,Piccadilly,Inbound,WB,WB
940GZZLUGPK,940GZZLUPCC,Green Park,Piccadilly Circus,Piccadilly,Outbound,EB,EB
940GZZLUGFD,940GZZLUNHT,Greenford,Northolt,Central,Inbound,WB,WB
940GZZLUGFD,940GZZLUPVL,Greenford,Perivale,Central,Outbound,EB,EB
940GZZLUGBY,940GZZLUKWG,Gunnersbury,Kew Gardens,District,Inbound,WB,WB
940GZZLUGBY,940GZZLUTNG,Gunnersbury,Turnham Green,District,Outbound,EB,EB
940GZZLUHLT,940GZZLUFLP,Hainault,Fairlop,Central,Inbound,WB,WB
940GZZLUHLT,940GZZLUGGH,Hainault,Grange Hill,Central,Outbound,EB,EB
940GZZLUHSD,940GZZLURVP,Hammersmith,Turnham Green,Piccadilly,Inbound,WB,WB
940GZZLUHSD,940GZZLUBSC,Hammersmith,Barons Court,Piccadilly,Outbound,EB,EB
940GZZLUHSD,940GZZLURVP,Hammersmith,Ravenscourt Park,District,Inbound,WB,WB
940GZZLUHSD,940GZZLUBSC,Hammersmith,Barons Court,District,Outbound,EB,EB
940GZZLUHSC,940GZZLUGHK,Hammersmith,Goldhawk Road,Hammersmith & City,Outbound,EB,EB
940GZZLUHSC,940GZZLUGHK,Hammersmith,Goldhawk Road,Circle,Outbound,EB,EB
940GZZLUHTD,940GZZLUGGN,Hampstead,Golders Green,Northern,Outbound,NB,NB
940GZZLUHTD,940GZZLUBZP,Hampstead,Belsize Park,Northern,Inbound,SB,SB
