unique_id,station_unique_id,line,mode,platform_number,platform_naptan_code,cardinal_direction,friendly_name,is_customer_facing,has_service_interchange,has_step_free_route_information,direction_towards,designated_level_access_point,level_access_by_manual_ramp,additional_accessibility_information
HUBRMD-Plat05-EB-district|london-overground,HUBRMD,district,tube,5,9400ZZLURMD1,Eastbound,Eastbound Platform 5,TRUE,TRUE,TRUE,Upminster,FALSE,FALSE,
HUBRMD-Plat06-EB-district,HUBRMD,district,tube,6,9400ZZLURMD1,Eastbound,Eastbound Platform 6,TRUE,FALSE,TRUE,Upminster,FALSE,FALSE,
HUBRMD-Plat07-EB-district,HUBRMD,district,tube,7,9400ZZLURMD1,Eastbound,Eastbound Platform 7,TRUE,FALSE,TRUE,Upminster,FALSE,FALSE,
HUBSBP-Plat01-SB-bakerloo|london-overground,HUBSBP,bakerloo,tube,1,9400ZZLUSGP1,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBSBP-Plat02-NB-bakerloo|london-overground,HUBSBP,bakerloo,tube,2,9400ZZLUSGP2,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBSDE-Plat01-EB-dlr,HUBSDE,dlr,dlr,1,,Eastbound,Eastbound Platform 1,TRUE,FALSE,TRUE,Beckton and Lewisham,FALSE,FALSE,
HUBSDE-Plat01-london-overground,HUBSDE,london-overground,overground,1,,,Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBSDE-Plat02-london-overground,HUBSDE,london-overground,overground,2,,,Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBSDE-Plat02-WB-dlr,HUBSDE,dlr,dlr,2,,Westbound,Westbound Platform 2,TRUE,FALSE,TRUE,Bank and Tower Gateway,FALSE,FALSE,
HUBSOK-Plat01-SB-bakerloo|london-overground,HUBSOK,bakerloo,tube,1,9400ZZLUSKT1,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBSOK-Plat02-NB-bakerloo|london-overground,HUBSOK,bakerloo,tube,2,9400ZZLUSKT1,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBSPB-Plat01-SB-london-overground,HUBSPB,london-overground,overground,1,,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,Clapham Junction,FALSE,TRUE,Use the ticket hall entrance for both platforms
HUBSPB-Plat01-WB-central,HUBSPB,central,tube,1,9400ZZLUSBC1,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBSPB-Plat02-EB-central,HUBSPB,central,tube,2,9400ZZLUSBC1,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
HUBSPB-Plat02-NB-london-overground,HUBSPB,london-overground,overground,2,,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,Stratford,FALSE,TRUE,Use the ticket hall entrance for both platforms
HUBSRA-Plat01-WB-london-overground,HUBSRA,london-overground,overground,1,9100STFD4,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,Clapham Junction,FALSE,TRUE,
HUBSRA-Plat02-WB-london-overground,HUBSRA,london-overground,overground,2,9100STFD4,Westbound,Westbound Platform 2,TRUE,FALSE,TRUE,Richmond,FALSE,TRUE,
HUBSRA-Plat03-WB-central,HUBSRA,central,tube,3,9400ZZLUSTD2,Westbound,Westbound Platform 3,TRUE,FALSE,TRUE,Liverpool Street,FALSE,TRUE,
HUBSRA-Plat05-WB-elizabeth,HUBSRA,elizabeth,elizabeth-line,5,,Westbound,Westbound Platform 5,TRUE,FALSE,TRUE,Liverpool Street,FALSE,TRUE,
HUBSRA-Plat06-EB-central,HUBSRA,central,tube,6,9400ZZLUSTD1,Eastbound,Eastbound Platform 6,TRUE,FALSE,TRUE,Epping,FALSE,TRUE,
