id,unique_id,name,latitude,longitude,total_lines,fare_zones
103,940GZZLUHLT,Hainault,51.603,0.0933,1,4
104,HUBHMS,Hammersmith,51.4936,-0.2251,3,2
105,940GZZLUHTD,Hampstead,51.5568,-0.178,1,2|3
106,940GZZLUHGR,Hanger Lane,51.5302,-0.2933,1,3
107,HUBHDN,Harlesden,51.5362,-0.2575,1,3
108,HUBHRW,Harrow & Wealdstone,51.5925,-0.3351,1,5
109,HUBHOH,Harrow-on-the-Hill,51.5793,-0.3366,1,5
110,940GZZLUHNX,Hatton Cross,51.4669,-0.4227,1,5|6
111,HUBHX4,Heathrow Terminal 4,51.4598,-0.4476,1,6
112,940GZZLUHCL,Hendon Central,51.5829,-0.2259,1,3|4
113,940GZZDLHEQ,Heron Quays,51.5033,-0.0215,1,2
114,940GZZLUHBT,High Barnet,51.6503,-0.1943,1,5
115,940GZZLUHSK,High Street Kensington,51.5009,-0.1925,2,1
116,HUBHHY,Highbury & Islington,51.546,-0.104,1,2
117,940GZZLUHGT,Highgate,51.5777,-0.1458,1,3
118,940GZZLUHGD,Hillingdon,51.5538,-0.4499,2,6
119,940GZZLUHBN,Holborn,51.5174,-0.12,2,1
120,940GZZLUHPK,Holland Park,51.5075,-0.206,1,2
121,940GZZLUHWY,Holloway Road,51.5526,-0.1132,1,2
122,940GZZLUHCH,Hornchurch,51.5539,0.2184,1,6
123,940GZZLUHWC,Hounslow Central,51.4713,-0.3665,1,4
124,940GZZLUHWE,Hounslow East,51.4733,-0.3564,1,4
125,940GZZLUHWT,Hounslow West,51.4734,-0.3855,1,5
126,940GZZLUHPC,Hyde Park Corner,51.5027,-0.1527,1,1
127,940GZZLUICK,Ickenham,51.5619,-0.4421,2,6
128,940GZZDLISL,Island Gardens,51.4871,-0.0101,1,2
129,940GZZLUKNG,Kennington,51.4884,-0.1053,1,1|2
130,HUBKNL,Kensal Green,51.5304,-0.225,1,2
131,HUBKPA,Kensington (Olympia),51.4983,-0.2106,1,2
132,HUBKTN,Kentish Town,51.5507,-0.1402,1,2
133,HUBKNT,Kenton,51.5816,-0.3162,1,4
134,HUBKWG,Kew Gardens,51.477,-0.285,1,3|4
135,940GZZLUKBN,Kilburn,51.5471,-0.2047,1,2
136,940GZZLUKPK,Kilburn Park,51.5351,-0.1939,1,2
137,940GZZLUKBY,Kingsbury,51.5846,-0.2786,1,4
138,940GZZLUKNB,Knightsbridge,51.5015,-0.1607,1,1
139,940GZZLULAD,Ladbroke Grove,51.5172,-0.2107,1,2
140,940GZZLULBN,Lambeth North,51.4991,-0.1115,1,1
141,940GZZLULGT,Lancaster Gate,51.5119,-0.1756,1,1
142,940GZZLULRD,Latimer Road,51.5139,-0.2172,1,2
143,940GZZLULSQ,Leicester Square,51.5113,-0.1281,2,1
144,HUBLEW,Lewisham,51.4657,-0.0142,1,2|3
145,940GZZLULYN,Leyton,51.5566,-0.0053,1,3
